,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
144,289,-999.0,-999.0,-999.0,19880120_000000,118,118,-155.61238,40.90521,F001,1440000.0,97.55046,523.62084,,,,997.82524,,65.52114,20,,
145,290,1404.0,2965.0,2569.0,19880121_000000,119,201,-143.13981,42.821,F001,1440000.0,147.44076,531.284,0.83166,0.51737,0.0,870.89825,25.63814,137.72689,21,1988-01-21,5 days
146,291,1751.0,2768.0,2763.0,19880122_000000,120,120,-136.03002,45.03923,F001,1440000.0,175.87992,540.1569,0.88459,0.7513,0.0,783.58357,15.19457,140.99611,22,,
147,292,296.0,1370.0,840.0,19880123_000000,121,121,-154.08191,32.17985,F001,1440000.0,103.67234,488.71938,0.95532,0.84546,0.0,895.9219,7.11949,81.48714,23,,
148,293,86.0,865.0,652.0,19880124_000000,122,122,-142.2931,42.23743,F001,1440000.0,150.82759,528.94971,0.92917,0.76391,0.0,737.64185,9.28646,72.30826,24,,
149,300,-999.0,-999.0,-999.0,19880131_000000,1749,56,-155.22582,35.1042,O001,1440000.0,99.09673,500.41679,,,,797.57022,,64.98891,31,,
152,304,424.0,1600.0,1234.0,19880204_000000,123,123,-146.60599,29.85976,F001,1440000.0,133.57604,479.43902,0.76292,0.16108,0.0,883.93464,26.65671,76.65026,35,,
153,305,-999.0,-999.0,-999.0,19880205_000000,1752,59,-136.62562,43.16454,O001,1440000.0,173.49753,532.65815,,,,718.73873,,89.24288,36,,
155,307,-999.0,-999.0,-999.0,19880207_000000,1754,61,-146.926,35.36905,O001,1440000.0,132.29599,501.47619,,,,728.98613,,71.75518,38,,
156,311,822.0,1670.0,1825.0,19880211_000000,126,126,-142.11114,45.93295,F001,1440000.0,151.55545,543.7318,0.86289,0.33892,0.0,798.11157,16.20188,125.67677,42,,
157,320,849.0,1160.0,1220.0,19880220_000000,131,131,-151.60614,45.63729,F001,1440000.0,113.57544,542.54918,0.82948,0.25172,0.0,739.38234,36.70105,109.29228,51,,
158,321,-999.0,-999.0,-999.0,19880221_000000,132,132,-156.40249,39.5511,F001,1440000.0,94.39002,518.20442,0.92229,0.81343,0.0,857.21811,10.61254,59.25244,52,,
159,324,1128.0,1532.0,1204.0,19880224_000000,135,135,-152.20108,40.56598,F001,1440000.0,111.19568,522.26394,0.87739,0.62076,0.0,774.23551,14.05623,105.80853,55,,
160,325,-999.0,-999.0,-999.0,19880225_000000,1756,63,-149.97115,29.41128,O001,1440000.0,120.11538,477.6451,,,,657.90949,,59.02924,56,,
161,326,-999.0,-999.0,-999.0,19880226_000000,1362,26,-133.84183,34.61134,F001,1440000.0,184.63267,498.44537,,,,734.58821,,93.71984,57,,
163,331,261.0,844.0,588.0,19880303_000000,137,137,-150.52104,36.52333,F001,1440000.0,117.91582,506.09331,0.88663,0.41943,0.0,823.0722,13.19742,74.21393,63,,
